site,title,company,location,date_posted,job_url,job_url_direct,id,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,company_industry,company_url,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
linkedin,AI Evaluation Intern - Qriton HLM,Qriton Technologies,,2026-05-25,https://www.linkedin.com/jobs/view/4415206407 , ,li-4415206407,internship,,,,,,True,internship,Other,,careers@qriton.com,"Technology, Information and Internet",https://www.linkedin.com/company/qriton,,,,,,,,,,,
linkedin,Intern Robotics and Motion Planning (f/m/x),BMW Group,"Munich, Bavaria, Germany",2026-05-24,https://www.linkedin.com/jobs/view/4375966270 , ,li-4375966270,internship,,,,,,False,internship,Engineering and Information Technology,,,Motor Vehicle Manufacturing,https://de.linkedin.com/company/bmw-group,,,,,,,,,,,
linkedin,Founders Associate Intern / Working Student,Routine Labs,"Berlin, Berlin, Germany",2026-05-23,https://www.linkedin.com/jobs/view/4414392632 , ,li-4414392632,internship,,,,,,False,internship,Other,,,Professional Services,https://de.linkedin.com/company/routine-labs,,,,,,,,,,,
linkedin,Praktikum – Fahrzeugmanagement & Data Analytics im Bereich Erprobungsfahrzeuge (w/m/d),AUDI AG,"Ingolstadt, Bavaria, Germany",2026-05-22,https://www.linkedin.com/jobs/view/4414079824 , ,li-4414079824,fulltime,,,,,,False,internship,"Research, Analyst, and Information Technology",,,Motor Vehicle Manufacturing,https://de.linkedin.com/company/audi-ag,,,,,,,,,,,
linkedin,Werkstudent AI Automation (m/w/d),BEARPAW PRODUCTS,"Bamberg, Bavaria, Germany",2026-05-22,https://www.linkedin.com/jobs/view/4414316500 , ,li-4414316500,parttime,,,,,,True,associate,Information Technology,,,Sporting Goods Manufacturing,https://de.linkedin.com/company/bearpaw-products,,,,,,,,,,,
linkedin,Intern Artificial Intelligence (m/f/d)*,Munich Re,"Munich, Bavaria, Germany",2026-05-22,https://www.linkedin.com/jobs/view/4378331224 , ,li-4378331224,fulltime,,,,,,True,internship,Information Technology,,,Insurance,https://de.linkedin.com/company/munich-re,,,,,,,,,,,
linkedin,Working Student – GenAI / LLM Evaluation – Agentic AI / NLP (f/m/d),Cinemo,"Karlsruhe, Baden-Württemberg, Germany",2026-05-22,https://www.linkedin.com/jobs/view/4414079370 , ,li-4414079370,parttime,,,,,,False,entry level,Information Technology,,,IT Services and IT Consulting,https://de.linkedin.com/company/cinemo,,,,,,,,,,,
linkedin,Working Student (f/m/d) - Industry Product Engineering Utilities - Cloud Product Engineering,SAP,"St. Ingbert, Saarland, Germany",2026-05-22,https://www.linkedin.com/jobs/view/4417140999 , ,li-4417140999,internship,,,,,,False,not applicable,Education and Training,,Careers@sap.com,"Software Development, IT Services and IT Consulting, and Business Consulting and Services",https://de.linkedin.com/company/sap,,,,,,,,,,,
linkedin,Data Engineer Intern (Mandatory/Pflichtpraktikum) (w/m/d),Novo AI,"Hannover, Lower Saxony, Germany",2026-05-22,https://www.linkedin.com/jobs/view/4414312243 , ,li-4414312243,internship,,,,,,False,internship,Information Technology,,,Software Development,https://de.linkedin.com/company/novo-ai,,,,,,,,,,,
linkedin,Student Assistant - Business Intelligence (m-f-d),Forest Stewardship Council,"Bonn, North Rhine-Westphalia, Germany",2026-05-22,https://www.linkedin.com/jobs/view/4418134089 , ,li-4418134089,parttime,,,,,,False,entry level,Information Technology,,,Non-profit Organizations,https://de.linkedin.com/company/fsc-international-bonn,,,,,,,,,,,
linkedin,Werkstudent:in Data Analytics & Insights,LEW,"Augsburg, Bavaria, Germany",2026-05-22,https://www.linkedin.com/jobs/view/4418144396 , ,li-4418144396,fulltime,,,,,,False,internship,"Research, Analyst, and Information Technology",,,Utilities,https://de.linkedin.com/company/lew-gruppe,,,,,,,,,,,
linkedin,Werkstudent Business Intelligence & Sales Support (m/w/d),Everllence,"Augsburg, Bavaria, Germany",2026-05-22,https://www.linkedin.com/jobs/view/4407616074 , ,li-4407616074,fulltime,,,,,,False,internship,Business Development and Sales,,nicola.hasl@everllence.com,Climate Technology Product Manufacturing,https://de.linkedin.com/company/everllence,,,,,,,,,,,
linkedin,Software Engineering Intern (m/f/d),Yendou,"Berlin, Berlin, Germany",2026-05-22,https://www.linkedin.com/jobs/view/4414343369 , ,li-4414343369,fulltime,,,,,,False,associate,Information Technology,,,IT Services and IT Consulting,https://de.linkedin.com/company/itsyendou,,,,,,,,,,,
linkedin,Working Student - Solution Consultant (m/f/d),Speexx,"Munich, Bavaria, Germany",2026-05-21,https://www.linkedin.com/jobs/view/4406086297 , ,li-4406086297,parttime,,,,,,False,entry level,Sales,,,"Technology, Information and Internet",https://de.linkedin.com/company/speexx,,,,,,,,,,,
linkedin,Werkstudent (m/w/d) Marketing | 16€ | Startup | 10-15h/ Woche I München,Ayunis / Locaboo,"Munich, Bavaria, Germany",2026-05-21,https://www.linkedin.com/jobs/view/4413667760 , ,li-4413667760,parttime,,,,,,False,internship,Marketing,,,Software Development,https://de.linkedin.com/company/ayunis,,,,,,,,,,,
