site,title,company,location,date_posted,job_url,job_url_direct,id,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,company_industry,company_url,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
linkedin,Praktikum Category Management Active (m/w/d),Tchibo,"Hamburg, Hamburg, Germany",2026-06-07,https://www.linkedin.com/jobs/view/4423364005 , ,li-4423364005,fulltime,,,,,,False,internship,Marketing and Sales,,,Retail,https://de.linkedin.com/company/tchibo,,,,,,,,,,,
linkedin,Project Manager Internal Projects (all genders),STARFACE GmbH,"Karlsruhe, Baden-Württemberg, Germany",2026-06-05,https://www.linkedin.com/jobs/view/4402865929 , ,li-4402865929,fulltime,,,,,,False,mid-senior level,Project Management and Information Technology,,,Telecommunications,https://de.linkedin.com/company/starface-gmbh,,,,,,,,,,,
linkedin,Working Student - Creative Operations,Audible,"Berlin, Germany",2026-06-05,https://www.linkedin.com/jobs/view/4424105469 , ,li-4424105469,fulltime,,,,,,False,not applicable,Administrative,,,Software Development,https://www.linkedin.com/company/audible,,,,,,,,,,,
linkedin,Assistant Product Manager Intern - Fanatec,Corsair,"Landshut, Bavaria, Germany",2026-06-04,https://www.linkedin.com/jobs/view/4423353460 , ,li-4423353460,internship,,,,,,False,internship,Product Management and Marketing,,,Computer Hardware Manufacturing,https://www.linkedin.com/company/corsair,,,,,,,,,,,
linkedin,CONSULTANT – INTERNATIONAL EXECUTIVE SEARCH CONSULTANCY (M/W/D),Heads! International,"Munich, Bavaria, Germany",2026-06-03,https://www.linkedin.com/jobs/view/4330135375 , ,li-4330135375,fulltime,,,,,,True,entry level,Research and Consulting,,,Business Consulting and Services,https://de.linkedin.com/company/headsinternational,,,,,,,,,,,
linkedin,Intern COO Office / Project Management (human),NEURA Robotics,"Metzingen, Baden-Württemberg, Germany",2026-06-03,https://www.linkedin.com/jobs/view/4422970182 , ,li-4422970182,internship,,,,,,False,internship,Management and Manufacturing,,,Automation Machinery Manufacturing,https://de.linkedin.com/company/neura-robotics,,,,,,,,,,,
linkedin,Internship (f/m/d) Footwear Gloves & Accessories Strategic Marketing and Product Management Support,W. L. Gore & Associates,"Feldkirchen-Westerham, Bavaria, Germany",2026-06-03,https://www.linkedin.com/jobs/view/4422907048 , ,li-4422907048,fulltime,,,,,,False,internship,Marketing and Sales,,,Manufacturing,https://www.linkedin.com/company/gore,,,,,,,,,,,
linkedin,Werkstudent Bau- und Projektleitung Stahlbau (m/w/d),RSB,"Rheine, North Rhine-Westphalia, Germany",2026-06-02,https://www.linkedin.com/jobs/view/4419250846 , ,li-4419250846,fulltime,,,,,,False,internship,Project Management and Information Technology,,"jobs@rsb.de, jobs@mbn.de, jobs@mbn.de, jobs@mbn.de, jobs@rsb.de, jobs@rsb.de",Construction,https://de.linkedin.com/company/rsb-gmbh,,,,,,,,,,,
linkedin,Project Management Energy International Poland (m/f/d),Westbridge Advisory,"Frankfurt am Main, Hesse, Germany",2026-06-02,https://www.linkedin.com/jobs/view/4413085760 , ,li-4413085760,fulltime,,,,,,False,entry level,Project Management and Information Technology,,,Business Consulting and Services,https://de.linkedin.com/company/westbridge-advisory,,,,,,,,,,,
linkedin,Senior Consultant/Manager Advisory und Koordination internationaler Mitarbeitereinsätze (m/w/d) in Berlin,Deloitte,"Berlin, Berlin, Germany",2026-06-02,https://www.linkedin.com/jobs/view/4243059757 , ,li-4243059757,fulltime,,,,,,True,associate,"Consulting, Information Technology, and Sales",,career@deloitte.de,Business Consulting and Services,https://www.linkedin.com/company/deloitte,,,,,,,,,,,
