site,title,company,location,date_posted,job_url,job_url_direct,id,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,company_industry,company_url,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
linkedin,Analytics Engineer | Upto $125/hr Part-time,Mercor,"Berlin, Berlin, Germany",2026-05-06,https://www.linkedin.com/jobs/view/4409730783 , ,li-4409730783,parttime,description,hourly,90.0,125.0,USD,True,not applicable,Information Technology,,support@mercor.com,Software Development,https://www.linkedin.com/company/mercor-ai,,,,,,,,,,,
linkedin,Consultant Data Engineering & Data Management (w/m/d),H&Z.digital,,2026-05-06,https://www.linkedin.com/jobs/view/4408819746 , ,li-4408819746,fulltime,,,,,,False,associate,Information Technology,,,IT Services and IT Consulting,https://de.linkedin.com/company/hz-digital,,,,,,,,,,,
linkedin,Vice President of Analytics,AI Futures,,2026-05-06,https://www.linkedin.com/jobs/view/4408802538 , ,li-4408802538,fulltime,,,,,,False,mid-senior level,Engineering and Analyst,,,"Technology, Information and Media",https://uk.linkedin.com/company/aifuturesgroup,,,,,,,,,,,
linkedin,BI & Analytics Engineer (m/w/d),Uhlmann Pac-Systeme,"Laupheim, Baden-Württemberg, Germany",2026-05-06,https://www.linkedin.com/jobs/view/4409770368 , ,li-4409770368,fulltime,,,,,,False,associate,Business Development,,,Machinery Manufacturing,https://de.linkedin.com/company/uhlmann-pac-systeme,,,,,,,,,,,
linkedin,Data Analyst (m/f/d),Redcare Pharmacy,"Cologne, North Rhine-Westphalia, Germany",2026-05-06,https://www.linkedin.com/jobs/view/4409794905 , ,li-4409794905,fulltime,,,,,,True,mid-senior level,Finance,,,Pharmaceutical Manufacturing,https://nl.linkedin.com/company/redcare-pharmacy-com,,,,,,,,,,,
linkedin,BI und Data Analytics-Entwickler (m/w/d) Power BI,Lechler Group,"Metzingen, Baden-Württemberg, Germany",2026-05-06,https://www.linkedin.com/jobs/view/4410946460 , ,li-4410946460,fulltime,,,,,,False,mid-senior level,Information Technology,,,Machinery Manufacturing,https://de.linkedin.com/company/lechlergroup,,,,,,,,,,,
linkedin,Senior Data Analyst - Sales (f/m/x),exmox GmbH,"Hamburg, Hamburg, Germany",2026-05-06,https://www.linkedin.com/jobs/view/4377720714 , ,li-4377720714,fulltime,,,,,,True,mid-senior level,Information Technology,,,Advertising Services,https://de.linkedin.com/company/exmox,,,,,,,,,,,
linkedin,(Senior) Consultant für Data & AI Strategy (all genders),diffferent,"Berlin, Berlin, Germany",2026-05-06,https://www.linkedin.com/jobs/view/4408826549 , ,li-4408826549,fulltime,,,,,,False,associate,General Business,,,Professional Services,https://de.linkedin.com/company/diffferent-strategieberatung,,,,,,,,,,,
linkedin,"Business Operations Director, Germany",BeOne Medicines,,2026-05-06,https://www.linkedin.com/jobs/view/4370724070 , ,li-4370724070,fulltime,,,,,,False,director,Business Development and Sales,,,Pharmaceutical Manufacturing,https://www.linkedin.com/company/beonemedicines,,,,,,,,,,,
linkedin,Consultant Quantitative Finance / Financial Engineering (m/w/d) in Hamburg,Deloitte,"Hamburg, Hamburg, Germany",2026-05-06,https://www.linkedin.com/jobs/view/4402097342 , ,li-4402097342,fulltime,,,,,,True,entry level,"Strategy/Planning, Finance, and Consulting",,career@deloitte.de,Business Consulting and Services,https://www.linkedin.com/company/deloitte,,,,,,,,,,,
