site,title,company,location,date_posted,job_url,job_url_direct,id,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,company_industry,company_url,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
linkedin,Master's Thesis - Value Contribution in Strategic Procurement (f/m/d),Uniper,"Düsseldorf, North Rhine-Westphalia, Germany",2026-08-12,https://www.linkedin.com/jobs/view/4443578506 , ,li-4443578506,fulltime,,,,,,False,internship,Supply Chain,,career@uniper.energy,Utilities,https://de.linkedin.com/company/uniper-se,,,,,,,,,,,
linkedin,Master Thesis - Efficient Markov Chain Monte Carlo Techniques for Studying Large-scale Metabolic Models,Forschungszentrum Jülich,"Jülich, North Rhine-Westphalia, Germany",2026-08-12,https://www.linkedin.com/jobs/view/4453124014 , ,li-4453124014,fulltime,,,,,,False,internship,Education and Training,,,Internet Publishing,https://de.linkedin.com/company/forschungszentrum-julich,,,,,,,,,,,
linkedin,Upcoming PhD Positions at the International Max Planck Research School for Functional Material Desig,Max Planck Institute of Colloids and Interfaces,"Potsdam, Brandenburg, Germany",2026-08-12,https://www.linkedin.com/jobs/view/4453389966 , ,li-4453389966,internship,,,,,,False,internship,"Research, Analyst, and Information Technology",,,Research Services,https://de.linkedin.com/company/max-planck-institute-of-colloids,,,,,,,,,,,
linkedin,Postdoc (m/f/d) -  internal,Forschungsverbund Berlin e.V.,"Berlin, Berlin, Germany",2026-08-11,https://www.linkedin.com/jobs/view/4452197983 , ,li-4452197983,fulltime,,,,,,False,mid-senior level,Research,,,Research Services,https://de.linkedin.com/company/forschungsverbund-berlin,,,,,,,,,,,
linkedin,Master Thesis - Ultra -Wideband Benchmarking (f/m/div),Infineon Technologies,"Munich, Bavaria, Germany",2026-08-11,https://www.linkedin.com/jobs/view/4452456388 , ,li-4452456388,fulltime,,,,,,False,internship,Education and Training,,,"Semiconductor Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Computer Hardware Manufacturing",https://de.linkedin.com/company/infineon-technologies,,,,,,,,,,,
linkedin,Bachelor-/Masterthesis im Bereich Umweltschutz / Immissionsschutz (m/w/d),thyssenkrupp Steel,"Duisburg, North Rhine-Westphalia, Germany",2026-08-10,https://www.linkedin.com/jobs/view/4449532797 , ,li-4449532797,fulltime,,,,,,False,entry level,Human Resources,,,Utilities,https://de.linkedin.com/company/thyssenkrupp-steel,,,,,,,,,,,
linkedin,Working Student (m/f/d) Sim2Real,Agile Robots SE,"Munich, Bavaria, Germany",2026-08-10,https://www.linkedin.com/jobs/view/4441583682 , ,li-4441583682,internship,,,,,,False,internship,Information Technology,,,"Automation Machinery Manufacturing, Robot Manufacturing, and Robotics Engineering",https://de.linkedin.com/company/agile-robots-se,,,,,,,,,,,
linkedin,Internship / Master Thesis Student (m/f/d) AI for Network Security and Orchestration,ABB,"Mannheim, Baden-Württemberg, Germany",2026-08-07,https://www.linkedin.com/jobs/view/4450378911 , ,li-4450378911,fulltime,,,,,,False,not applicable,Education and Training,,,"Appliances, Electrical, and Electronics Manufacturing",https://ch.linkedin.com/company/abb,,,,,,,,,,,
linkedin,MSc or BSc Thesis / Internship (m/f/d) Industrial Internet Speedtest,ABB,"Mannheim, Baden-Württemberg, Germany",2026-08-07,https://www.linkedin.com/jobs/view/4450395165 , ,li-4450395165,fulltime,,,,,,False,not applicable,Education and Training,,,"Appliances, Electrical, and Electronics Manufacturing",https://ch.linkedin.com/company/abb,,,,,,,,,,,
linkedin,Student Assistant (m/f/d) | Nonverbal Interpersonal Communication Exploration (NICE) Toolbox,Max Planck Society,"Tübingen, Baden-Württemberg, Germany",,https://www.linkedin.com/jobs/view/4451202563 , ,li-4451202563,fulltime,,,,,,False,entry level,Administrative,,"aleksandr.evgrashin@tuebingen.mpg.de, senya@tue.mpg.de, keiko.kitagawa@tuebingen.mpg.de",Civic and Social Organizations,https://de.linkedin.com/school/max-planck-society/,,,,,,,,,,,
linkedin,Abschlussarbeit (Master) - Analyse von Einflussparametern auf die Benetzung von Batteriematerialien,Fraunhofer Research Institution for Battery Cell Production FFB,"Münster, North Rhine-Westphalia, Germany",,https://www.linkedin.com/jobs/view/4453247152 , ,li-4453247152,fulltime,,,,,,False,internship,Other,,,Research Services,https://de.linkedin.com/company/fraunhofer-ffb,,,,,,,,,,,
linkedin,PhD positions at the International Max Planck Research School for Living Matter,IMPRS-LM International Max Planck Research School for Living Matter,"Dortmund, North Rhine-Westphalia, Germany",,https://www.linkedin.com/jobs/view/4454531711 , ,li-4454531711,fulltime,,,,,,False,mid-senior level,"Research, Analyst, and Information Technology",,,Research,https://de.linkedin.com/school/imprs-lm/,,,,,,,,,,,
linkedin,"Student:in (m/w/d) für Masterthesis ""Analyse und Optimierung der Hartverchromung von Arbeitswalzen bei der Umstellung von vertikalen auf horizontale Beschichtungsprozesse""",thyssenkrupp,"Andernach, Rhineland-Palatinate, Germany",,https://www.linkedin.com/jobs/view/4451240502 , ,li-4451240502,fulltime,,,,,,False,entry level,Human Resources,,,Utilities,https://de.linkedin.com/company/thyssenkrupp,,,,,,,,,,,
